label, text
"1","So..I hardly ever write reviews for places (as you can see) and I just felt compelled to after I picked up another round of dry cleaning that was less than great to say the least. I have tried out Meridian a few times since I ive in the area. Like other Yelpers have said...great for men's shirts. My husband's shirts come out fine. Thats because they require no work. I could do it, but why? So now on to my laundry...they can not seem to iron or press my shorts on the crease for the life of them and have now managed to just make my shorts look like crap. On to the button up I took there the other day (I dont really know how this is that different from a mens shirt except it was short sleeve) well where my sleeves roll up it was not pressed and was not rolled up properly....like the person that was taking care of my shirt really had no idea what they were doing. I did just as good of a job in my bathroom the next morning with my flat iron on my shirt. On a seperate previous trip I took in a dress that said \""dry clean only\"" after examining it for what felt like ever (it was not super nice just had some silver designs) they asked if I had it dry cleaned before and I said no, but the tag said \""DRY CLEAN ONLY\"" they then refused to dry clean it because the silver \""would come off\"" - Something I highly doubt as I have put it in the washer since and it has been fine.  These are just a few examples of the crappy results I have had from this place....so needless to say, even though yes, they are close and yes, they are cheap I will NOT be going back. I will be going to the more expensive, further away dry cleaner that seems to know how to do their job properly."
"2","Been going there for years.  Sadly, after the manager left, this place has gone down hill very rapidly.  It is too bad cause this drycleaner use to operate pretty smoothly.  I can't possibly recommend them to anyone if they can't keep good help around there. So long..."
"4","went here for lunch with my boyfriend. we came on a friday so they had specials going on. its a really big place. they have peanuts on the table which is awesome and bad cause they are addicting! lol. we both got beer. i ordered a blue moon and like it should, came with and orange slice! my boyfriend got a hamburger and i got tacos. they were really good! i would definitely go back to this place!"
"2","This place is like any other in the Gilbert area. Not a good bar, not a good restaurant, but a mediocre place trying to be both. It has very few dinner specials and a poor beer selection. I considered leaving after I looked at the menu. But I was starving and they had peanuts. The food was OK, the service was nice and pretty quick but the place was empty. I won't be returning here."
"4","My hubby and I took the kids there and sat outside during happy hour. The service was great, they had decent HH specials on both drinks and food. The kids had fun with the peanuts. We were the only ones outside and our server did a great job of remembering we were out there. I think it would have been pretty pricey to have a full dinner there, but the HH specials made it affordable with 3 kids."
"4","All PPP have the same layout.  This one I have to say is cleaner than the others.  Kids are everywhere!!!  The pizza was not bad.  The wings are not too bad either.  They did an excellent job on my friend kid's birthday.  The person dedicated to the party she got every detail down and timed it just right.  Everyone had a great time."
"5","Always a great place to bring our little one (4 years old) Games are Fun, pizza is always great. Prices haven't changed much over the years. Highly recommend for anytime of day and any occasion."
"5","We love Dr. Quackenbush and all the staff at Timber Falls!  I have four kids going there ranging from age 3 to 11 and each one of them enjoy going.  Dr. Quackenbush is very professional, caring, and honest and when there are issues with my kids' teeth he always goes through each option available and lets me know which one is the best for that child and the situation (not the one that would pay him more money).  One of my younger daughters has had to have several baby root canals done there and still never hesitates to go back because they always take such good care of her there and never make her feel uncomfortable.  I highly recommend Dr. Quackenbush!"
"2","Target has a promotion they call Holly Jolly Savings.  It is promoted as spend $50 on Holiday items and get $10 off at the register. Sounds easy enough!  I fill my shopping cart with holiday Items and get to the check out..  My total was $171.80.  I showed the cashier my coupon, she scanned it  and told me my purchases did not qualify.  Really?,.....I ask how much more do I need to spend to qualify?  She does not have a clue but suggested I inquire at the customer service desk.  I go to the customer service desk and the clerk also has no clue to how the promotion works, but he was somehow sure I did not qualify.  I told him I would no longer be shopping at Target and he smiled and wished me a good day.  Officially added Target to my do not shop there anymore list along with Sears and Kmart..  I added a star as they have incredible shopping carts."
"3","Since we're going to be moving right near this place, we checked it out.  It's not like our favorite hangout Dizzy's, but it definitely has a cool vibe.  A bunch of us checked it out on Friday night and the people watching alone is worth it.  \n\nForgot the bartender's name, but she was awesome and took care of us never leaving us dry.  \n\nIt's a small bar on the outside, but great music and a few pool tables on the inside.  Check it out if you get a chance!"
"4","Thai tea and a doughnut.  Aside from not being what the diet doctor ordered , the sweet on sweet may not have been the best combination idea I've ever had, but separately, both were good!\n\nPop was out but definitely a mom'n'pop kind of place.  Nice down-homey little doughnut & sandwich & coffee shop.  Very nice lady behind the counter, her young son hanging out unobtrusively nearby.  Worth a stop if you get a hankering for sweet fried delight while you're in the hood on south side of Olive at 47th Ave."
"1","I made an appointment at this location 2 weeks ago. When I show up at the agreed upon time I am informed there isnt an appointment under my name. Instead of apologizing for their error, the representative immediatley states I must have called the  wrong location and proceeds to call a nearby store. Of course, they didnt have anything under my name either, but that is because I didnt schedule the appointment there. You would think at this point an apology would be appropriate but no, I am told they are booked solid and the vehicle might get squeezed in if left all day. After further review a sliver of time is found for 3 hours later. Guess who is the only one inconvenienced, the one that made the good for nothing appointment to begin with. As we all know the key to taking a reservation is holding it, anyone can TAKE a reservation."
"5","Fucking BENTO BOX!!!!  Oh man,  getting diabetes has never been so delicious.  These boxes are massive to the point where you can barely close the thing.  It's as if the food is fighting imprisonment so it can raid your taste buds for all they're worth.  These babies have dumplings, rice, fried pork, teriyaki chicken, and a small salad so you don't feel so bad about it afterwards.   Which you won't. \nNow if you don't want to look like a total slob you can get the Teryiaki Chicken bowl.  (Spicy is my thing but hey, you can puss out if you want)\nOne massive bowl of rice and meat later and nothing seems so bad anymore.  Not even the dead hooker in your trunk can steal anything from this afterglow."
"3","My family and I are such BIG fans of the Jalapeno Dynamites, sometimes it's hot and sometimes very hot.  We don't care we love it!  I would like to see at least one steam side in the future, but I suppose fried sides are more popular here.  The food is delish...it wouldn't hurt if they change up using different vegetable(s) sometimes instead of the ever popular onions and cabbage in some of the chicken dishes.  The teriyaki chicken and broccoli could be substituted with a different vegetable for those who are allergic to broccoli.  I love the vegetable bowl minus the broccoli.  I love some of the sushi rolls esp. the specialty ones, BIG portion sizes.  Miso soup is so good too.  The owner-manager is the only one who makes the best sushi so I understand he can't be there 7 days/wk.  It wouldn't hurt to call beforehand if he's there or not if you're craving for sushi."
"1","A friend of mine was just talked into joining this gym last week. 18 year old who hadn't experienced the classic \""gym\"" sales crap.\nAFTER they accpeted his membership fee and first and last.. THIS GYM IS SHUTTING DOWN in TWO WEEKS!! What a joke! \n\nSo everyone was correct in their previous posts that this place should shut down but they shouldn't have accepted any memberships knowing they were closing in two weeks."
"2","Do you want to die shortly after being slapped in the face with a cover charge that shouldn't be charged and then having your girlfriend gang raped on the dance floor?\n\nIt receives two stars simply because I used to like the place.  Pool, good music, dancing, reasonable drink prices.  But, after a couple of tense situations, witnessing fights on a near weekly basis, and a parking lot shooting....I'll pass these days.\n\nI don't do karaoke so that side of the establishment might be okay."
"3","Spit your gum out before you enter. Be prepared to get frisked. Bring .50$ for the locker. And forgo all fear and enjoy yourself. \n\nYes, it's swarming with young 'uns on Saturday night, but don't let them whizzing by you, showing you up, discourage you from letting your inner child come out to play. In fact, laugh much, laugh hard and don't be afraid of falling. \n\nI fell once, taking my date down with me. Ha! It was the highlight of my skating experience. So funny. \n\nI wasn't sure what to expect, but Great Skate is alot of fun. If you aren't pro enough to skate backwards or play the games, just watch. It's fun, too. \n\nI recommend this place and roller skating for when you need to break away from reality and just enjoy yourself. \n\nI give this place only 3 stars because it's not in the greatest neighborhood (hence security measures) and you have to be ready for a bunch of kids running around and, well, being kids. If you can handle either, then you're golden."
"2","Dr. Bischoff is wonderful ONLY IF:\nA) You are rich and/or have the Cadillac of insurance plans.\nB) Have no health issues\nOtherwise, don't waste you're time and money (even with the voucher).\nI purchased the voucher ($99 of service for $50). I sent my husband there for a cleaning and he needed 2 small gumline fillings. We were visiting AZ from MA for 6 months only. Dr. Bischoff scared the Heck out of him by insisting on testing him for mouth cancer due to his oral exam of his mouth (test = negative thank God) . Then, he tells him he has gingivitis which will require deep oral scalings (four) at a cost of over a thousand dollars. When my husband explained that we were only here while I was at the Cancer Institute for treatment and that he only wanted a basic cleaning and to get the two small cavities filled (they were hurting him when he ate) and that we couldn't afford the suggested treatment,  Dr. Bischoff flatly refused to do anything until the deep scaling - which would take 3-4 months to perform - was completed.\nSooo...I guess Dr. Bischoff only cares about you if you are rich enough to afford whatever treatment he deigns  to do regardless of what you really need and can afford done. My poor husband was sent away, still in pain and now feeling horrible because we don't have the money or time to have this large procedure done...all because he is my primary and only care giver and terrible me had to get Cancer and spend most of our money coming to the Cancer Institute of America in order to try and save my life. Sounds a bit chilly for such a \""caring individual\"".....although they did send a \""happy birthday\"" email to him on his birthday (yeah, not much to celebrate with aching teeth and a dying wife). Nice marketing strategy...\nOh, and by the way, we have an excellent dentist back home in Boston, MA whom we regularly see and have been with for over 20 years...He has all the best /latest and greatest equipment too! Upon arriving home, my husband went to him and he doesn't have gingivitis and was right to refuse the deep scaling as due to his health conditions, which include a heart murmur and high blood pressure, the regular dentist has never done a deep scaling. All knowledgeable dentists should require a medical clearance from a PCP prior to performing deep scalings as people with these conditions can have strokes or heart attacks from the debris dislodged during the procedure which travels into the blood stream. My husband's PCP will not give the clearance.\nTypical example of all gloss and glamor but no substance. Real nice digs and alot of expensive toys for the doc to play with but so much for sincere compassionate care!"
"3","Happy hour prices pretty good. Spinach artichoke dip and tortilla chips kind of salty. Our server was Olivia who made a pretty good Long Island iced tea but wasn't as attentive as Racquel was the last time we were in. Still overall we love the food here, usually good."
"5","They have the best pizza, we drive 50 miles to get this pizza. There wings are also great and you can't beat there beef on kummelweck it is so good. We have also had there subs and pasta dishes and all is great. So don't hesitate about going to eat here it is so worth it."
"2","Sunday morning before 11am we were there and it was packed to the gills at this IHOP. OMG, the waiting area inside was full, the wait area in between the inside and outside doors were full and the entrance has about 4 people stand around. WOW! We waited about 20 mins for 5 of us. \n\nThe menus were sticky and mine had a smashed paper liner of a straw in it. The table looked clean and the seats were redone. The place got HOT, there was a lot of people. \n\nI got the ham and cheese omelet. It was a little dry. The french toast was pretty good. \n\nAll in all, meh...."
"1","Went to eat some pancakes this morning and of course being a Sunday it was very busy. We had to sit outside because they had called our name and we didn't show so longer wait. We sit outside, order drinks and food but it took about 30 minutes to get our food. Our food finally arrives but they forget my husbands food. We thought maybe they're still making it but they forgot because we asked what was taking so long and turns out his food was just sitting there. Very frustrating. Didn't bring us syrup or ranch for my food until very late. Our waiter was very bad charged us wrong and wouldn't let us settle the ticket up at the front desk. Never going there again honestly I'll just stick to Denny's."
"5","I was greeted right away by a very friendly staff.  Even those I was late I got started right away. I appreciated the little extra time Tina and Hyeu took to make sure my nails were meticulous! They run a clean shop and do an excellent job! Thank you Kathy for the humorous chit chat on the side.  I am coming back for certain"
"5","Keep in mind - ***** - \""Woohoo! As good as it gets!\"" - IN ARIZONA\n\nBeing that my Thai grandmother's blood runs through my veins, and it's all I had growing up at home, I'd like to say that I'm a pretty credible Thai food yelper.  For the past MANY years, this is the only Thai restaurant that my parents will dine in. \n\nTheir menu is pretty eclectic since they offer everything from stir-fried noodles, noodle soups, stir-fried meat/veggie dishes, and fried rice. I had the pad Thai the last time I went to pick up take-out about 3 weeks ago. It was WAY spicy, but I asked for it. Despite the streams of sweat that were rolling down my temples, the noodles were delicious! My other favorite dish here is the pad kee mao which translates into stir fried drunkard. This dish is best spicy as well. I highly recommend this place if you're in the area and love authentic Thai food."
"1","Do not come here! This place is packed full of people waiting to have an abortion and it's really gross. They don't take time to explain anything and they will not even let your boyfriend or husband in the ultrasound room if you want him there. You can definitely find help somewhere else where you are not treated like cattle!"
"5","Now, I am very hesitant to give a dentist 5 stars.  I mean if I was rating dentists as a whole, I would give them negative stars.  I have gone to a *lot* of dentists in my day and would never have considered giving one above 3 stars.  Then, I met Dr. Wyatt.  \n\nFirst, his helpers are super helpful and friendly.  They are nice and sometimes when they ask a question, they actually take the tools out of your mouth for you to answer!\n\nSecond, Dr. Wyatt himself follows suit and is nice.  Even when you have issues he's nice about it.  He doesn't lecture or raise his voice or even seem angry that you don't do something, like oh floss all the time...  He truly seems like he wants you to have a happy, healthy smile, not like he is frustrated with your behavior.\n\nLastly, his office is called \""Reel Dental\"" and they have a movie theme.  Though somewhat cheesy, it's nice to have movies on in the waiting room and such.  Rumor has it that when you go in for long dental work, which I never have, you can watch a movie while it's done!  Anything to take your mind of the fact you're in a dentist chair is great.\n\nOh, and for the ladies, he's quite easy on the eyes to look at while being worked on!"
"4","This place has really good halal kohbedays.  However they close pretty early and are not even open on Sunday's . There hours are M-S 11-9."
"4","Every once and a while I need a little Grand Dragon in my life!\n\nI stumbled upon this place when I was working on a house in Glendale and needed to fulfill my need for some Chinese food - and then I was hooked. For under $10 I can get general's chicken with brown rice, crab puffs, spring roll, and lo mein. Oh and you want to add a side of sweet and sour chicken to that order for $2.95 - perfect!\nThis food is delicious and affordable. Trust me you will get filled up and have some to take home for lunch the next day! The service is always great and the restaurant itself is comfortable!\n\nAnd I'll have to cut this review short to stuff some more general's chicken in my face!\n\nCheers!"
"2","Thought we'd try to stay closer to home and saw the reviews for this place, not so bad. Was greeted by a super friendly guy who quickly changed from friendly to downright annoying. He took our drink orders as soon as he seated us, was back in a flash and asked if we needed more time. Yes, we did. Two minutes later, asked if we were ready. Nope, sorry. Again. And again. I don't know what his hurry was but he was determined to get our order within 5 minutes of us walking in the door. Whatever. \n\nI ordered the house chicken. When it arrived I was surprised, they give you a lot of food! I thought I had hit the jackpot! It was crispy, not overly sweet or spicey. Very good. We had a lot of leftovers, everything turned out great.\n\nUntil about 5 hours later. I was pretty gassy after that but whatevs, I don't mind farting and I'm pretty gassy anyways. Then it became painful. I knew it was coming and it was going to be hot. I got the shits. Explosive. Seven times. \n\nIt's hard to tell what exactly has turned your ass into a chocolate fountain by the end of the day...but I won't risk it again."
"5","What can I say.... This is hands down one of the best places to eat!  Visit probably once a week and always request the same waiter.  Service is great, food is excellent, prices are perfect!"
"5","We are here all the time.  We sometimes blow in late and announce to our waiter that we are really pushed for time.  They just smile and accommodate us.  Our food comes out piping hot, perfect and within an amazingly short time.  Their cheese crisp is the best in town, as is their tortilla soup.  My husband's favorite is the \""E\"" (he says, \""E for Excellence.\"")  It's a chicken chimi, basically.  They also make a really nice chicken taquito, ... you get four presented in a mini flour taco shell on a bed of lettuce.  Yum!  The service is friendly and I would suggest this restaurant to anyone who loves good Mex Tex."
"1","RUN!!!  This place was not a good experience.   We rented a car from the PHX airport and went to this location to trade it in since the original car was shaking at high speed on the highway.  The Ford Escape they offered us a the location is an embarrassment to the the whole company....it was filthy dirty, smelled like smoke and vomit and was an older model with high mileage.... I thought it was a joke at first........ they also had a bad attitude that we didn't want it........ughhh...we finally got a Chevy Impala, but the building was filthy and this place needs to be torn down ....."
"3","Friends called me yesterday afternoon and asked me to stop and have a beer with them and watch the ALCS game.  Sort of a cool neighborhood bar with a small bar food menu.  Most of the patrons seemed to know each other or were in small groups at a single table like we were.  I counted 7 screens but I forgot to see if there were any over by the pool tables.  4 pool tables, 7 dart boards, shuffleboard and a couple of video games.  The tables and stools are all anchored.  The door has been replaced with a privacy wall in the men's room and the one stall looks like the door has been removed and replaced a few times.  The padded rails on the tables need reupholstering.  Overall the place seems in pretty good shape.  They have a fenced in smoking patio but I didn't see any chairs or tables on it.\n\nI had a toasted ham and cheese on sourdough ($5.75)and I chose to have it with onion rings, although I could have chosen fries or cottage cheese.  It was good and I thought a pretty good deal.  I had MGD long necks at $3 each.  Not sure if that was happy hour or regular price, I didn't ask.  \n\nAll the employees I dealt with were pleasant and efficient.  I Left by 7 so I don't know if the vibe changes as the evening goes on.  I noticed several folks just like me that joined friends and left after a drink or two.  I had a good time with friends and wouldn't hesitate to go back again.\n\nThe woman opening up early Saturday sure looked at me funny taking pictures of the place as she walked up to the door. :-)"
"3","That place is very, very dark but the beer mugs are big and cold! lol. The service was good and their BLT was yummy, plus they give you a BIG portion of fries. I was bummed that I was there during the wings and onion rings but didn't get any. Boo!! Maybe next time :)"
"1","Wish I could give them zero stars. The other reviews are spot on. They don't want your business. They refuse to honor Subway coupons. The employees act rude and condescending. Their prices are more expensive than other Subways in the area. I'd recommend the Subway at 51st and Olive if you're looking to eat at Subway in this neighborhood. Avoid this one at all costs!"
"4","Their green chile burritos are great! Enough for my husband and I to share too. Really love the chips and salsa! Better than many other places!"
"5","I think Korina might have mixed this place up with somewhere else - or perhaps has an ex-boyfriend working there... \n\nCommunity Tire is one of the most professional companies I have ever done business with, and they definitely stand behind their work 100%.\n\nI have used two of the Community Tire locations and had nothing but perfect results. Fast, fair, friendly! Plus, they give back a lot to the local community."
"5","I still love this campus BUT I do agree with the angry person that if you want the quintessential party college experience, this campus (and Poly) are not for you.\n\nThis is like a liberal arts college in that most of the classes are less than 30 people, some have up to 100 but it's not large lecture style like Tempe and other universities.\n\nIf you don't care about partying and you live in NW Phoenix then this school is AWESOME!"
"1","I do not give 1 star reviews lightly, but this business is beyond unprofessional.  Their business practices seem to change with the mood of the owner, and it is the customers who suffer."
"4","5 corn dogs for 5 bucks.......Tuesday special on Milkshakes for 1.29......Franks made with Chicken instead of Beef or Pork.....Priceless. This establishment is great place to stop after going to an NFL.....NHL...MLB....or Spring Training game because it is near all of those facilities if your head back to the East Side of the Valley. The restaurant is very clean....the staff is nice and the food is very good. Eat, Drink, and be Merry my Friends!!!!!"
"4","I love this location because it's right on my way to work... I had a breakfast sandwich here once that I wasn't too fond of  so now I just get the regular bagels - the spinach florentine is my fave. \n\nThe lines can get kind of long here in the morning, but the staff so far has done a good job not making everyone wait too long. Nothing worse than having employees who don't give a rat's ass, so I'm glad it's not the case here. In fact, everyone has been really nice here always saying good morning and smiling...at least every time I've been here."
"1","Terrible pharmacy! Can't say how many times they have messed up my prescriptions. And even when it's been their fault their answer is \""once it leaves the pharmacy nothing can be done\"" if they just had an ounce of customer service instead of just being flat out rude I wouldn't mind so much. From here on out ill drive the extra 15min to another just so I don't have to deal with them again."
"3","Mom came in by ambulance on Friday with a fractured femer on the left leg where her prior hip repleacement from 2005 had taken the hit from her fall. The old hip was removed and a new hip with a longer leg shaft was inserted. She has been out of it for several days but Wednesday she finally walked and Thursday she was more herself again. The food has been good for hospital food and the nurses have been wonderful. No one enjoys waiting around the ER or waiting for tests and all of the other things that happen in a hospital. But this is a very nice facility and staff. And believe me with Dad having a stroke and various surgeries and Mom being the $6million woman with this her 6th major surgery I have experienced lots of hospitals!"
